group1/user4,1460079234
group1/user4,1460079114
group1/user4,1460079039
group1/user4,1460078878
group1/user4,1460078505
group1/user4,1459618557
group1/user4,1459194776
group1/user4,1459193308
group1/user4,1459107622
group1/user4,1459106511
group1/user4,1459048149
group1/user4,1459023090
group1/user4,1459022881
group1/user4,1459022558
group1/user4,1456893062
group1/user4,1456890006
group1/user4,1456707877
group1/user4,1456706560
group1/user4,1456635275
group1/user4,1456619773
group1/user4,1456607669
group1/user4,1456605471
group1/user4,1456603665
group1/user4,1455741419
group1/user4,1455739559
group1/user4,1455739535
